,pieceVSA_EState6,pieceBCUT2D_MRHI,ex1EState_VSA8,pieceEState_VSA6,piecePEOE_VSA10,piecefr_C_O_noCOO,pieceSlogP_VSA5,pieceBertzCT,pieceEState_VSA1,ex1qed,preChi1n,pieceSMR_VSA5,ex2MolLogP,ex1BCUT2D_LOGPHI,pieceVSA_EState4,preChi4v,piecePEOE_VSA7,ex2Chi4n,pieceFpDensityMorgan2,ex1SPS.1,preMinEStateIndex,pieceEState_VSA2,pieceBCUT2D_CHGLO,pieceHallKierAlpha,pieceBCUT2D_LOGPHI,pieceMaxEStateIndex,pieceBCUT2D_MWHI,ex1PEOE_VSA8,ex2MinAbsEStateIndex,preChi4n,pieceChi4n,pieceSlogP_VSA3,preSMR_VSA6,ex1EState_VSA4,R,pieceVSA_EState3,ex2BCUT2D_LOGPHI,pieceVSA_EState9,pieceVSA_EState2,pieceMinAbsEStateIndex,pieceChi4v,pieceNumHeteroatoms,pieceChi3v,preKappa3,polyol_ratio,preMaxPartialCharge,pieceKappa3,Diisocyanate_ratio,pieceMinEStateIndex,piecePEOE_VSA14,pieceEState_VSA3,pieceVSA_EState5,piecePEOE_VSA8,pieceBCUT2D_CHGHI,Hs_wt,extender2_ratio,prePEOE_VSA8,extender1_ratio,self_time,self_tem,pregbr,preXGB,
0,136.6665468,8.763784352,0,28.63546794,0,16,1963.895138,22429.01655,79.21212092,0.64279436,73.39232993,1936.037454,-0.2488,2.37019386,28.80005313,18.76330769,2257.916393,0.223606798,0.052863436,777,-0.504299918,31.30710747,-2.103005902,-30.62,2.907871157,13.11576333,33.114756,21.1657395,0.195,18.76330769,91.9075485,776.1066049,418.6859034,11.37477255,1,53.33808893,1.802227409,6.069687544,201.9153751,0.146721122,93.83840328,190,149.6529345,128.4538145,0.25,0.411111954,647.8654639,0.5,-0.582960164,97.30546446,430.4735211,0,1969.138542,2.856327948,0.2724336,0,392.7349351,0.25,8,60,0.83526493,0.8025034,0.818884165
1,121.8333711,8.763544869,0,0,13.21376393,16,1963.895138,21553.26921,97.49184114,0.44273582,73.39232993,1926.246487,-0.2488,2.183066881,27.26078831,18.76330769,2209.385457,0.223606798,0.045555556,777,-0.504299918,26.42752786,-2.09948106,-29.06,2.894659643,12.65958212,33.11471329,11.50570721,0.195,18.76330769,90.77457656,790.3171938,418.6859034,11.50570721,1,44.52254254,1.802227409,5.694522102,198.7565076,0.146725453,92.42838333,190,147.9174221,128.4538145,0.25,0.411111954,659.9375597,0.5,-0.582959886,97.49184114,442.7126636,1.094963494,1952.430838,2.848171946,0.246639069,0,392.7349351,0.25,8,60,0.797749396,0.7558909,0.776820148
2,121.2511292,8.763228593,0,7.047671983,0,16,1963.895138,21166.71375,79.21212092,0.320455409,73.39232993,1926.246487,-0.2488,2.142830747,27.4774007,18.76330769,2209.385457,0.223606798,0.054565702,777,-0.504299918,31.30710747,-2.101241311,-29.06,2.891534499,12.76373388,33.11472511,11.75357678,0.195,18.76330769,90.66072674,776.1066049,418.6859034,0,1,53.03959848,1.802227409,5.709014415,199.1327429,0.146733678,92.06098663,190,147.34197,128.4538145,0.25,0.411111954,658.0278983,0.5,-0.582952299,97.30546446,430.8523253,0.632813935,1947.972802,2.845616495,0.238022088,0,392.7349351,0.25,8,60,0.788303226,0.7552218,0.771762513
3,117.4495377,8.763879842,9.473725908,31.31314026,12.08368166,18,1963.895138,22006.25521,115.2966422,0.357058394,73.39232993,1938.330169,-0.2488,2.21934945,26.75473444,18.76330769,2209.385457,0.223606798,0.060572687,777,-0.504299918,43.96434958,-2.183989162,-30.12,2.901456813,13.30449178,33.11471506,11.50570721,0.195,18.76330769,91.54173652,795.1694052,418.6859034,0,1,52.48489039,1.802227409,7.745683072,226.247033,0.061944317,93.83903118,194,149.3339827,128.4538145,0.25,0.411111954,656.0582155,0.5,-1.066522552,109.244075,412.4918665,-1.234838388,1959.47851,2.860414646,0.277684719,0,392.7349351,0.25,8,60,0.793271796,0.7258298,0.759550798
4,136.2966851,8.763780527,0,24.26546827,11.49902367,16,1963.895138,22419.15826,97.49184114,0.810579141,73.39232993,1936.037454,-0.2488,2.37515263,27.17610738,18.76330769,2257.916393,0.223606798,0.051762115,777,-0.504299918,13.21376393,-2.09948106,-30.62,2.908952905,12.99952158,33.11475605,9.790966951,0.195,18.76330769,91.73560059,780.8434679,418.6859034,9.790966951,1,44.58274704,1.802227409,5.723186291,201.4437288,0.146710889,93.66645536,190,149.4210536,128.4538145,0.25,0.411111954,647.8654639,0.5,-0.617675676,97.49184114,442.7059801,0.775899675,1950.716097,2.857109665,0.272954111,0,392.7349351,0.25,8,60,0.822528331,0.7974728,0.810000566
5,122.014616,8.763371147,0,21.58779595,0,16,1976.736781,21587.69076,97.49184114,0.457314917,73.39232993,1939.08813,-0.2488,2.214369426,27.36244991,18.76330769,2222.2271,0.223606798,0.045454545,777,-0.504299918,26.42752786,-2.09948106,-29.06,2.897025734,12.65960697,33.11471337,24.71947114,0.195,18.76330769,91.00324168,790.3171938,418.6859034,24.34735046,1,44.58041576,1.802227409,6.024725818,198.7577331,0.146727573,93.12456202,190,148.5721227,128.4538145,0.25,0.411111954,661.8475664,0.5,-0.582957053,97.49184114,437.4417177,1.577263192,1952.430838,2.850132034,0.254516882,0,392.7349351,0.25,8,60,0.805961513,0.73416466,0.770063087
6,117.4495377,8.763879842,9.473725908,31.31314026,12.08368166,18,1963.895138,22006.25521,115.2966422,0.357058394,73.39232993,1938.330169,-0.2488,2.21934945,26.75473444,18.76330769,2209.385457,0.223606798,0.060572687,777,-0.504299918,43.96434958,-2.183989162,-30.12,2.901456813,13.30449178,33.11471506,11.50570721,0.195,18.76330769,91.54173652,795.1694052,418.6859034,0,1,52.48489039,1.802227409,7.745683072,226.247033,0.061944317,93.83903118,194,149.3339827,128.4538145,0.25,0.411111954,656.0582155,0.5,-1.066522552,109.244075,412.4918665,-1.234838388,1959.47851,2.860414646,0.277684719,0,392.7349351,0.25,8,60,0.793271796,0.7258298,0.759550798
7,134.8280458,8.764194769,0,72.79640482,26.42752786,18,1984.611115,22841.87943,109.4304517,0.495409576,73.39232993,1936.037454,-0.2488,2.402742668,27.32149806,18.76330769,2233.650925,0.223606798,0.054466231,777,-0.504299918,63.9819587,-2.117735308,-31.68,2.917653502,13.47009748,33.11475806,9.790966951,0.195,18.76330769,92.51858565,799.7909197,418.6859034,0,1,44.34647675,1.802227409,5.147929562,227.4084462,0.146654218,94.85938139,194,150.717368,128.4538145,0.25,0.411111954,648.7221024,0.5,-0.727568833,109.4304517,427.7841594,-1.269574862,1950.716097,2.869267526,0.309149895,0,392.7349351,0.25,8,60,0.812231063,0.7744229,0.793326982
8,135.6939662,8.764199417,0,24.26546827,0,18,2010.294402,22912.32386,109.4304517,0.26439453,73.39232993,1961.72074,-0.2488,2.403378968,27.77177909,18.76330769,2259.334212,0.223606798,0.053145336,777,-0.504299918,52.85505572,-2.11435125,-31.68,2.922161416,13.47089627,33.11475857,23.00473088,0.195,18.76330769,93.04884241,799.7909197,418.6859034,9.790966951,1,44.48909205,1.802227409,5.285400309,227.4333896,0.101671776,95.38963815,194,151.6280516,128.4538145,0.25,0.411111954,652.5003874,0.5,-0.608074212,109.4304517,464.5943489,-1.021118228,1950.716097,2.87312996,0.322284768,0,392.7349351,0.25,8,60,0.840211111,0.76619333,0.803202221
9,136.252459,8.764204085,0,24.26546827,0,18,2035.977688,23000.75871,109.4304517,0.155490595,73.39232993,1987.404027,-0.2488,2.403708222,28.04884961,18.76330769,2285.017498,0.223606798,0.05399568,777,-0.504299918,46.24817375,-2.112499075,-31.68,2.926755072,13.4665841,33.11475908,23.00473088,0.195,18.76330769,93.75594919,799.7909197,418.6859034,61.15753993,1,44.56931323,1.802227409,5.371467081,227.4267822,0.146663476,96.09674493,194,152.6280516,128.4538145,0.25,0.411111954,656.2802896,0.5,-0.583010332,109.4304517,471.2012309,-0.891158402,1950.716097,2.877034634,0.334929503,0,392.7349351,0.25,8,60,0.831199252,0.74918354,0.790191396
